不可思議,0.1,0.55
不平,-0.35,0.2
不甘,-0.45,0.35
不安,-0.3,0.1
不利,-0.35,0.15
不足,-0.2,-0.2
不定,-0.2,-0.3
不宜,-0.3,-0.15
不幸,-0.6,0.25
不拘小節,0.35,-0.2
不服,-0.4,0.4
不知所措,-0.45,0.3
不便,-0.25,-0.15
不耐,-0.25,-0.15
不耐煩,-0.35,0.25
不准,-0.35,0.3
不屑,-0.5,0.25
不悅,-0.45,0.25
不爽,-0.55,0.55
不祥,-0.55,0.05
不符,-0.3,-0.25
不順,-0.35,-0.1
不當,-0.4,0.15
不解,-0.2,-0.2
不滿,-0.45,0.35
不適,-0.35,-0.1
正,0.4,0.0
多餘,-0.25,-0.25
好,0.45,0.05
否定,-0.4,0.1
否認,-0.35,0.05
足夠,0.2,-0.25
肯定,0.45,0.25
哇,0.25,0.4
哎呀,-0.05,0.45
恰好,0.35,0.0
耶,0.55,0.55
單獨,-0.15,-0.35
無力,-0.45,-0.35
無足輕重,-0.15,-0.25
無情,-0.6,0.2
無理,-0.6,0.45
無暇,-0.35,0.15
無趣,-0.4,0.05
無禮,-0.55,0.5
想,0.05,-0.35
過分,-0.55,0.45
對,0.35,-0.05
認真,0.5,0.0
嘻,0.4,0.2
嘻嘻,0.5,0.3
隨便,-0.2,0.05
隨意,0.15,-0.2
豐富,0.45,0.15
願意,0.45,0.0
小心,-0.1,0.25
分享,0.45,-0.1
支持,0.55,0.0
支撐,0.15,0.15
付出,0.2,0.15
失去,-0.45,0.35
失敗,-0.7,0.55
打,-0.45,0.4
同意,0.35,-0.15
成功,0.8,0.4
死,-0.95,0.0
吸引,0.25,0.3
希望,0.5,0.05
忘記,-0.25,-0.1
協助,0.4,-0.1
抱,0.2,0.05
玩,0.15,0.2
信任,0.7,0.2
相信,0.55,0.1
討厭,-0.6,0.4
貢獻,0.6,0.15
逃避,-0.5,0.25
喜愛,0.55,0.3
喜歡,0.5,0.2
喪失,-0.6,0.2
期望,0.25,0.05
答應,0.2,0.0
幹,-1.0,0.95
愛,0.8,0.1
愛好,0.5,0.15
感謝,0.6,0.15
損失,-0.45,0.05
經歷,0.0,-0.05
遇到,0.0,-0.2
遊戲,0.2,-0.05
鼓勵,0.5,0.3
適合,0.15,-0.3
擔心,-0.4,0.4
輸,-0.5,-0.15
錯過,-0.35,-0.15
幫忙,0.35,0.0
幫助,0.4,0.15
應付,-0.2,0.1
謝謝,0.4,0.2
懷念,0.25,0.15
關心,0.35,0.25
關懷,0.45,0.35
贏,0.55,0.5
贏得,0.6,0.5
下流,-0.7,0.65
王八蛋,-0.9,0.9
他媽的,-0.9,0.85
白目,-0.7,0.55
白癡,-0.7,0.6
呸,-0.65,0.6
垃圾,-0.7,0.6
怪胎,-0.65,0.5
放屁,-0.6,0.5
狗屁,-0.65,0.65
淫婦,-0.8,0.7
混蛋,-0.75,0.75
笨蛋,-0.5,0.15
媽的,-0.7,0.65
愚蠢,-0.55,0.25
該死,-0.6,0.65
賤,-0.7,0.55
賤人,-0.75,0.7
賤貨,-0.8,0.8
操,-0.75,0.75
蕩婦,-0.8,0.7
蹩腳,-0.35,0.05
壞蛋,-0.5,0.35
爛貨,-0.7,0.45
白痴,-0.65,0.35
八卦,-0.4,-0.1
仇人,-0.7,0.55
仇恨,-0.7,0.7
仇敵,-0.75,0.65
分擔,0.15,-0.15
友,0.35,-0.2
反駁,-0.3,0.35
打岔,-0.3,-0.2
打架,-0.6,0.65
打斷,-0.25,-0.1
交往,0.35,0.05
同情,0.1,-0.2
安心,0.15,-0.65
伴侶,0.5,-0.1
忌妒,-0.5,0.45
批評,-0.45,0.65
抗議,-0.45,0.7
取笑,-0.35,0.3
坦白,0.25,0.15
奉承,-0.35,0.15
奉獻,0.45,0.25
抱怨,-0.55,0.4
拒絕,-0.5,0.4
放心,0.3,-0.45
朋友,0.45,-0.2
爭吵,-0.4,0.4
爭論,-0.3,0.4
知己,0.55,-0.05
侮辱,-0.65,0.65
信服,0.35,0.1
信賴,0.55,0.1
冒犯,-0.45,0.5
怨恨,-0.75,0.7
指責,-0.4,0.45
原諒,0.2,-0.2
辱罵,-0.65,0.5
鬥爭,-0.5,0.6
情人,0.45,0.4
甜心,0.45,0.25
責備,-0.4,0.35
逗弄,0.1,0.1
插嘴,-0.35,0.15
款待,0.3,0.1
詛咒,-0.7,0.6
開玩笑,0.3,0.05
閒話,-0.25,-0.15
愛人,0.55,0.45
愛戀,0.65,0.45
隔離,-0.4,0.0
嘉獎,0.45,0.2
稱讚,0.45,0.25
說服,0.0,-0.2
說長道短,-0.45,0.0
駁斥,-0.55,0.55
嘲弄,-0.6,0.3
嘲笑,-0.6,0.4
嘲罵,-0.6,0.6
嘲諷,-0.6,0.6
寬恕,0.3,-0.1
慶典,0.4,0.15
慶祝,0.5,0.35
憐憫,0.2,0.0
摯友,0.6,0.05
敵人,-0.5,0.25
樂意,0.45,0.1
熱愛,0.55,0.5
調情,0.1,0.45
諂媚,-0.4,0.15
親切,0.5,0.0
親愛,0.6,0.25
親愛的,0.55,0.35
幫手,0.35,-0.05
戲弄,-0.4,0.3
鍾愛,0.5,0.4
歸咎,-0.45,0.15
離婚,-0.65,0.2
懷疑,-0.3,-0.15
譏,-0.45,0.25
寶貝,0.6,0.35
饒恕,0.15,0.0
譴責,-0.5,0.55
歡迎,0.55,0.35
歡送,0.25,0.3
歡聚,0.55,0.3
戀人,0.5,0.2
戀愛,0.65,0.35
讚美,0.5,0.15
讚揚,0.65,0.4
讚譽,0.65,0.45
ㄏㄏ,0.2,-0.1
一無所有,-0.65,-0.15
七竅生煙,-0.7,0.7
了不起,0.5,0.35
人心惶惶,-0.6,0.6
上級,-0.05,-0.15
上當,-0.45,0.3
下定決心,0.3,0.45
口吃,-0.3,-0.25
大方,0.35,0.05
大笑,0.35,0.45
大膽,0.1,0.3
小氣,-0.35,-0.1
小偷,-0.45,0.15
才能,0.4,-0.1
才智,0.5,-0.1
不仁,-0.5,0.2
不貞,-0.55,0.45
不顧一切,-0.1,0.7
中斷,-0.1,-0.35
仁心,0.6,0.05
仁術,0.6,0.0
仁愛,0.7,0.05
仁慈,0.7,0.05
仁義,0.6,0.1
仇,-0.65,0.25
仇殺,-0.9,0.8
仇視,-0.75,0.65
元兇,-0.7,0.35
內疚,-0.5,0.0
公憤,-0.65,0.75
凶,-0.55,0.55
分心,-0.25,-0.15
分手,-0.55,0.35
分歧,-0.45,0.15
分紅,0.3,-0.15
分散,-0.15,-0.3
分裂,-0.35,0.2
勾引,-0.3,0.35
厄運,-0.5,0.2
及時,0.35,0.1
反抗,-0.35,0.4
反叛,-0.55,0.35
反派,-0.45,0.0
反感,-0.35,0.05
反對,-0.4,0.3
天才,0.45,0.1
天堂,0.5,0.1
天資,0.2,-0.15
天賦,0.25,-0.15
幻想,-0.1,-0.2
引人注目,0.2,0.35
引誘,-0.3,0.35
心灰意冷,-0.55,-0.35
心神不定,-0.45,0.4
心神不寧,-0.45,0.45
心情,0.0,-0.35
心痛,-0.6,0.55
心愛,0.55,0.35
心煩意亂,-0.5,0.6
心碎,-0.7,0.75
心酸,-0.55,0.45
支配,-0.1,0.05
欠債,-0.4,-0.1
毛骨悚然,-0.7,0.75
火熱,0.35,0.55
世仇,-0.8,0.8
乏味,-0.4,-0.5
仔細,0.3,-0.3
充沛,0.4,0.25
出色,0.55,0.15
功勞,0.45,0.1
古怪,-0.2,-0.05
可口,0.35,0.2
可怕,-0.4,0.45
可恥,-0.65,0.55
可笑,-0.5,0.4
可悲,-0.6,0.35
可惡,-0.65,0.55
可愛,0.5,0.3
可鄙,-0.65,0.6
可憎,-0.65,0.55
可憐,-0.35,0.05
可靠,0.45,0.05
外向,0.25,0.2
外行,-0.3,-0.1
外傷,-0.35,0.3
失眠,-0.5,-0.35
失控,-0.65,0.7
失望,-0.5,0.15
失誤,-0.35,0.1
平安,0.55,-0.4
平和,0.5,-0.55
平庸,-0.1,-0.5
平靜,0.35,-0.65
平穩,0.2,-0.4
打仗,-0.5,0.65
打倒,-0.4,0.4
打破,-0.25,0.3
打情罵俏,-0.1,0.4
打敗,0.3,0.25
打擊,-0.2,0.45
打擾,-0.35,0.15
打攪,-0.35,0.15
末日,-0.8,0.45
正面,0.4,-0.1
生命力,0.45,0.2
生氣,0.1,0.2
生氣勃勃,0.5,0.45
生病,-0.4,-0.25
生動,0.35,0.2
生疏,-0.3,-0.4
生厭,-0.4,0.2
用力,0.0,0.5
目瞪口呆,0.0,0.6
矛盾,-0.2,-0.1
丟人,-0.55,0.25
丟人現眼,-0.65,0.45
丟下,-0.55,0.1
丟棄,-0.5,0.15
丟臉,-0.5,0.2
交戰,-0.25,0.6
任性,-0.4,0.1
兇,-0.4,0.55
光亮,0.2,-0.1
光榮,0.45,0.3
光輝,0.4,0.2
劣,-0.5,0.0
危,-0.45,0.4
吃醋,-0.35,0.4
吃驚,-0.3,0.7
